target_id	length	eff_length	est_counts	tpm
YFR003C	468	289	91	153.597
YJR089W	2865	2686	87	15.7999
YHR072W	2196	2017	143	34.5836
YFR050C	801	622	272	213.314
YJR050W	708	529	34	31.3519
YHR212C	336	157	1.5	4.66049
YOL066C	1776	1597	66	20.1595
YLL006W-A	177	15.5846	0	0
YGR073C	372	193	8.11429	20.5085
YDR231C	618	439	59.2991	65.8906
YNL302C	435	256	1306.66	2489.79
YNL030W	312	133	961.757	3527.39
YMR272W-A	114	5.81021	0	0
YDR021W	1200	1021	13	6.21094
YDR374C	921	742	0	0
YPL004C	1026	847	1470	846.592
YER020W	1350	1171	232	96.6432
YDR126W	1011	832	24	14.0711
